,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
135,Happier,"Ed Sheeran",701348,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
136,Fall,Eminem,700236,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
137,"REEL IT IN",Aminé,696831,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
138,Hipócrita,"Anuel Aa",693059,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
139,"Want To","Dua Lipa",689846,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
140,"All I Am","Jess Glynne",688462,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
141,"X - Remix","Nicky Jam",687435,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
142,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,686653,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
143,YOSEMITE,"Travis Scott",686480,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
144,"La Player (Bandolera)","Zion & Lennox",685566,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
145,"The Hype","Twenty One Pilots",682840,https://open.spotify.com/track/7I3skNaQdvZSS7zXY2VHId
146,Closer,"The Chainsmokers",674755,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
147,"What Lovers Do (feat. SZA)","Maroon 5",674178,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
148,"In My Blood","Shawn Mendes",670777,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
149,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,670598,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
150,"I'm Yours","Jason Mraz",669695,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
151,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",663633,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
152,"Can't Be Broken","Lil Wayne",661822,https://open.spotify.com/track/5cGpjfgAvidLy6znwkCxkP
153,"Me Niego",Reik,659757,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
154,Celoso,"Lele Pons",656864,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
155,Mine,Bazzi,655106,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
156,"Drew Barrymore","Bryce Vine",652428,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
157,"500 PS","Bonez MC",650151,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
158,Flames,"David Guetta",648989,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
159,Congratulations,"Post Malone",641280,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
160,"Lost In Japan - Remix","Shawn Mendes",638845,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv
161,"Head Above Water","Avril Lavigne",638667,https://open.spotify.com/track/1N7YeVU0ZwAFbOhwM61ef6
162,SWISH,Tyga,637672,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
163,"Young Dumb & Broke",Khalid,637462,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
164,Bandito,"Twenty One Pilots",629808,https://open.spotify.com/track/5INKIG4QNuD4xq7qZcfPzp
165,OTW,Khalid,627352,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
166,Levitate,"Twenty One Pilots",626546,https://open.spotify.com/track/2uBhGx3m5iJrtsql8Qk00j
167,"Always Remember Us This Way","Lady Gaga",625411,https://open.spotify.com/track/74iZuPGwyL33VlTr6jTnab
168,"Cut My Lip","Twenty One Pilots",624735,https://open.spotify.com/track/6gFtgkh8ShkrJn52Cbdhxy
169,"Close Friends (Lil Baby & Gunna)","Lil Baby",623161,https://open.spotify.com/track/5nzhL67GpF9szXWg5y509A
170,"Diamond Heart","Alan Walker",622736,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
171,HUMBLE.,"Kendrick Lamar",622322,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
172,Silence,Marshmello,621833,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
173,Kokain,"Bonez MC",621208,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf
174,Hope,XXXTENTACION,620740,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
